sch,Location,count
110000010101,Mitte,70
110000010102,Moabit,9
110000010104,Tiergarten,6
110000010105,Wedding,1
110000010106,Gesundbrunnen,1
110000020201,Friedrichshain,2
110000020202,Kreuzberg,32
110000030301,Prenzlauer Berg,10
110000030302,Weißensee,8
110000030305,Karow,5
110000030307,Pankow,2
110000030309,Buch,5
110000030310,Französisch Buchholz,23
110000030311,Niederschönhausen,3
110000040401,Charlottenburg,18
110000040402,Wilmersdorf,21
110000040403,Schmargendorf,1
110000040404,Grunewald,7
110000040405,Westend,15
110000040406,Charlottenburg-Nord,6
110000040407,Halensee,4
110000050501,Spandau,5
110000050502,Haselhorst,4
110000050503,Siemensstadt,4
110000050504,Staaken,6
110000050505,Gatow,2
110000050507,Hakenfelde,2
110000050508,Falkenhagener Feld,1
110000050509,Wilhelmstadt,1
110000060601,Steglitz,12
110000060602,Lichterfelde,9
110000060603,Lankwitz,4
110000060605,Dahlem,2
110000060606,Nikolassee,7
110000070701,Schöneberg,8
110000070702,Friedenau,3
110000070703,Tempelhof,3
110000070704,Mariendorf,2
110000070705,Marienfelde,2
110000070706,Lichtenrade,5
110000080801,Neukölln,15
110000080802,Britz,4
110000080803,Buckow,7
110000080804,Rudow,3
110000080805,Gropiusstadt,3
110000090901,Alt-Treptow,3
110000090902,Plänterwald,4
110000090903,Baumschulenweg,4
110000090904,Johannisthal,3
110000090905,Niederschöneweide,2
110000090906,Altglienicke,3
110000090907,Adlershof,3
110000090908,Bohnsdorf,4
110000090909,Oberschöneweide,2
110000090910,Köpenick,25
110000090911,Friedrichshagen,3
110000090913,Grünau,4
110000090914,Müggelheim,4
110000101001,Marzahn,10
110000101002,Biesdorf,1
110000101003,Kaulsdorf,6
110000101004,Mahlsdorf,2
110000101005,Hellersdorf,6
110000111101,Friedrichsfelde,8
110000111102,Karlshorst,2
110000111103,Lichtenberg,5
110000111109,Neu-Hohenschönhausen,15
110000111110,Alt-Hohenschönhausen,4
110000111111,Fennpfuhl,4
110000121201,Reinickendorf,3
110000121210,Märkisches Viertel,3
110000121211,Borsigwalde,4
